"country","city"
"Afghanistan","Kabul"
"Algeria","Batna"
"Algeria","Bchar"
"Algeria","Skikda"
"American Samoa","Tafuna"
"Angola","Benguela"
"Angola","Namibe"
"Anguilla","South Hill"
"Argentina","Almirante Brown"
"Argentina","Avellaneda"
"Argentina","Baha Blanca"
"Argentina","Crdoba"
"Argentina","Escobar"
"Argentina","Ezeiza"
"Argentina","La Plata"
"Argentina","Merlo"
"Argentina","Quilmes"
"Argentina","San Miguel de Tucumn"
"Argentina","Santa F"
"Argentina","Tandil"
"Argentina","Vicente Lpez"
"Armenia","Yerevan"
"Australia","Woodridge"
"Austria","Graz"
"Austria","Linz"
"Austria","Salzburg"
"Azerbaijan","Baku"
"Azerbaijan","Sumqayit"
"Bahrain","al-Manama"
"Bangladesh","Dhaka"
"Bangladesh","Jamalpur"
"Bangladesh","Tangail"
"Belarus","Mogiljov"
"Belarus","Molodetno"
"Bolivia","El Alto"
"Bolivia","Sucre"
"Brazil","Alvorada"
"Brazil","Angra dos Reis"
"Brazil","Anpolis"
"Brazil","Aparecida de Goinia"
"Brazil","Araatuba"
"Brazil","Bag"
"Brazil","Belm"
"Brazil","Blumenau"
"Brazil","Boa Vista"
"Brazil","Braslia"
"Brazil","Goinia"
"Brazil","Guaruj"
"Brazil","guas Lindas de Gois"
"Brazil","Ibirit"
"Brazil","Juazeiro do Norte"
"Brazil","Juiz de Fora"
"Brazil","Luzinia"
"Brazil","Maring"
"Brazil","Po"
"Brazil","Poos de Caldas"
"Brazil","Rio Claro"
"Brazil","Santa Brbara dOeste"
"Brazil","Santo Andr"
"Brazil","So Bernardo do Campo"
"Brazil","So Leopoldo"
"Brazil","Sorocaba"
"Brazil","Vila Velha"
"Brazil","Vitria de Santo Anto"
"Brunei","Bandar Seri Begawan"
"Bulgaria","Ruse"
"Bulgaria","Stara Zagora"
"Cambodia","Battambang"
"Cambodia","Phnom Penh"
"Cameroon","Bamenda"
"Cameroon","Yaound"
"Canada","Gatineau"
"Canada","Halifax"
"Canada","Lethbridge"
"Canada","London"
"Canada","Oshawa"
"Canada","Richmond Hill"
"Canada","Vancouver"
"Chad","NDjamna"
"Chile","Antofagasta"
"Chile","Coquimbo"
"Chile","Rancagua"
"China","Baicheng"
"China","Baiyin"
"China","Binzhou"
"China","Changzhou"
"China","Datong"
"China","Daxian"
"China","Dongying"
"China","Emeishan"
"China","Enshi"
"China","Ezhou"
"China","Fuyu"
"China","Fuzhou"
"China","Haining"
"China","Hami"
"China","Hohhot"
"China","Huaian"
"China","Jinchang"
"China","Jining"
"China","Jinzhou"
"China","Junan"
"China","Korla"
"China","Laiwu"
"China","Laohekou"
"China","Lengshuijiang"
"China","Leshan"
"China","Liaocheng"
"China","Meixian"
"China","Nanyang"
"China","Pingxiang"
"China","Qinhuangdao"
"China","Rizhao"
"China","Sanya"
"China","Shanwei"
"China","Shaoguan"
"China","Shenzhen"
"China","Suihua"
"China","Tianjin"
"China","Tiefa"
"China","Tieli"
"China","Tongliao"
"China","Weifang"
"China","Xiangfan"
"China","Xiangtan"
"China","Xintai"
"China","Xinxiang"
"China","Yantai"
"China","Yinchuan"
"China","Yingkou"
"China","Yuncheng"
"China","Yuzhou"
"China","Zalantun"
"China","Zaoyang"
"China","Zhoushan"
"Colombia","Buenaventura"
"Colombia","Dos Quebradas"
"Colombia","Florencia"
"Colombia","Pereira"
"Colombia","Sincelejo"
"Colombia","Sogamoso"
"Congo, The Democratic Republic of the","Lubumbashi"
"Congo, The Democratic Republic of the","Mwene-Ditu"
"Czech Republic","Olomouc"
"Dominican Republic","La Romana"
"Dominican Republic","San Felipe de Puerto Plata"
"Dominican Republic","Santiago de los Caballeros"
"Ecuador","Loja"
"Ecuador","Portoviejo"
"Ecuador","Robamba"
"Egypt","Bilbays"
"Egypt","Idfu"
"Egypt","Mit Ghamr"
"Egypt","Qalyub"
"Egypt","Sawhaj"
"Egypt","Shubra al-Khayma"
"Estonia","Tartu"
"Ethiopia","Addis Abeba"
"Faroe Islands","Trshavn"
"Finland","Oulu"
"France","Brest"
"France","Le Mans"
"France","Toulon"
"France","Toulouse"
"French Guiana","Cayenne"
"French Polynesia","Faaa"
"French Polynesia","Papeete"
"Gambia","Banjul"
"Germany","Duisburg"
"Germany","Erlangen"
"Germany","Halle/Saale"
"Germany","Mannheim"
"Germany","Saarbrcken"
"Germany","Siegen"
"Germany","Witten"
"Greece","Athenai"
"Greece","Patras"
"Greenland","Nuuk"
"Holy See (Vatican City State)","Citt del Vaticano"
"Hong Kong","Kowloon and New Kowloon"
"Hungary","Szkesfehrvr"
"India","Adoni"
"India","Ahmadnagar"
"India","Allappuzha (Alleppey)"
"India","Ambattur"
"India","Amroha"
"India","Balurghat"
"India","Berhampore (Baharampur)"
"India","Bhavnagar"
"India","Bhilwara"
"India","Bhimavaram"
"India","Bhopal"
"India","Bhusawal"
"India","Bijapur"
"India","Chandrapur"
"India","Chapra"
"India","Dhule (Dhulia)"
"India","Etawah"
"India","Firozabad"
"India","Gandhinagar"
"India","Gulbarga"
"India","Haldia"
"India","Halisahar"
"India","Hoshiarpur"
"India","Hubli-Dharwad"
"India","Jaipur"
"India","Jhansi"
"India","Jodhpur"
"India","Kamarhati"
"India","Kanchrapara"
"India","Karnal"
"India","Katihar"
"India","Kumbakonam"
"India","Miraj"
"India","Munger (Monghyr)"
"India","Mysore"
"India","Nagaon"
"India","Palghat (Palakkad)"
"India","Parbhani"
"India","Pathankot"
"India","Patiala"
"India","Pudukkottai"
"India","Pune"
"India","Purnea (Purnia)"
"India","Rae Bareli"
"India","Rajkot"
"India","Rampur"
"India","Ranchi"
"India","Sambhal"
"India","Satna"
"India","Shimoga"
"India","Shivapuri"
"India","Siliguri (Shiliguri)"
"India","Tambaram"
"India","Udaipur"
"India","Uluberia"
"India","Uttarpara-Kotrung"
"India","Valparai"
"India","Varanasi (Benares)"
"India","Vijayawada"
"India","Yamuna Nagar"
"Indonesia","Cianjur"
"Indonesia","Ciomas"
"Indonesia","Ciparay"
"Indonesia","Gorontalo"
"Indonesia","Jakarta"
"Indonesia","Lhokseumawe"
"Indonesia","Madiun"
"Indonesia","Pangkal Pinang"
"Indonesia","Pemalang"
"Indonesia","Pontianak"
"Indonesia","Probolinggo"
"Indonesia","Purwakarta"
"Indonesia","Surakarta"
"Indonesia","Tegal"
"Iran","Arak"
"Iran","Esfahan"
"Iran","Kermanshah"
"Iran","Najafabad"
"Iran","Qomsheh"
"Iran","Shahr-e Kord"
"Iran","Sirjan"
"Iran","Tabriz"
"Iraq","Mosul"
"Israel","Ashdod"
"Israel","Ashqelon"
"Israel","Bat Yam"
"Israel","Tel Aviv-Jaffa"
"Italy","Alessandria"
"Italy","Bergamo"
"Italy","Brescia"
"Italy","Brindisi"
"Italy","Livorno"
"Italy","Syrakusa"
"Italy","Udine"
"Japan","Akishima"
"Japan","Fukuyama"
"Japan","Higashiosaka"
"Japan","Hino"
"Japan","Hiroshima"
"Japan","Isesaki"
"Japan","Iwaki"
"Japan","Iwakuni"
"Japan","Iwatsuki"
"Japan","Izumisano"
"Japan","Kakamigahara"
"Japan","Kamakura"
